ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001289611-25-000006	/s/ Lina Davidian as attorney-in-fact for J. Chris Brewster	28-NOV-2025
0001193125-25-302634	/s/ Dana J. Lockhart	28-NOV-2025
0001994329-25-000003	/s/ Ryan D. Robinson, Attorney-in-Fact	28-NOV-2025
0001193125-25-302629	/s/ Gordon I. Mitchell	28-NOV-2025
0001193125-25-302628	/s/ Brian S. Gillman	28-NOV-2025
0001193125-25-302627	/s/ Harvey W. Schiller	28-NOV-2025
0001193125-25-302626	/s/ Kenneth Yi, as Attorney-in-Fact for Sergey Brin	28-NOV-2025
0001683168-25-008728	/s/ Albert L. Lord	28-NOV-2025
0001401786-25-000004	/s/ Aaron Tachibana	28-NOV-2025
0001144879-25-000111	/s/ Mark Chavez as Attorney-in-Fact	28-NOV-2025
0001493152-25-025414	/s/ Joseph Hernandez	28-NOV-2025
0001493152-25-025413	Signed by the Managing Member of Blue Water Acquisition III LLC /s/ Joseph Hernandez	28-NOV-2025
0002098624-25-000003	Kyle W. Funderburk, Attorney-in-Fact for Robert P. Rayphole	28-NOV-2025
0001161697-25-000430	/s/ Jeffrey Del Carmen	28-NOV-2025
0001193125-25-302613	/s/ David K.F. Gillis, Attorney-in-Fact	28-NOV-2025
0001193125-25-302612	/s/ Fareeha Khan, as attorney-in-fact Adrian Zarate	28-NOV-2025
0001698762-25-000004	/s/ Pamela A. Meredith, Attorney-in-Fact for Joseph L. Hartz	28-NOV-2025
0001193125-25-302605	/s/ Spyridon Skiados	28-NOV-2025
0001374160-25-000010	/s/ Angelo M. Ninivaggi, by Kate A. Gitter, Attorney-in-Fact	28-NOV-2025
0001600424-25-000007	/s/ Oliver K. Mihm, by Kate A. Gitter, Attorney-in-Fact	28-NOV-2025
0001193805-25-001676	By: Steel Excel Inc., By: /s/ Maria Reda, Secretary	28-NOV-2025
0001193805-25-001676	By: Steel Partners Holdings GP Inc., General Partner, By: /s/ Maria Reda, Secretary	28-NOV-2025
0001193805-25-001676	By: SPH Group LLC, By: Steel Partners Holdings GP Inc., Managing Member, By: /s/ Maria Reda, Secretary	28-NOV-2025
0001193805-25-001676	By: SPH Group Holdings LLC, By: Steel Partners Holdings GP Inc., Manager, By: /s/ Maria Reda, Secretary	28-NOV-2025
0001193805-25-001676	By: Steel Partners Holdings L.P., By: Steel Partners Holdings GP Inc., General Partner, By: /s/ Maria Reda, Secretary	28-NOV-2025
0001193805-25-001676	By: Steel Connect LLC., By: /s/ Maria Reda, Secretary	28-NOV-2025
0001321591-25-000006	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001880864-25-000005	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001795501-25-000005	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001238040-25-000006	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001880832-25-000005	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001999488-25-000008	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001554614-25-000007	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001600405-25-000008	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001872886-25-000005	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001683168-25-008727	/s/ Greg Smitherman, as Attorney-in-Fact for Sheldon Richard Bentley	28-NOV-2025
0001222371-25-000004	/s/ Jay S. Sidhu by Andrew Sachs under Power of Attorney	28-NOV-2025
0001710769-25-000008	/s/ Lori A. Brown, attorney in fact	28-NOV-2025
0002057603-25-000009	/s/ Jeff Mason as attorney-in-fact	28-NOV-2025
0001022079-25-000233	Sean D. Mersten, Attorney in Fact for James E. Davis	28-NOV-2025
0001022079-25-000232	Sean D. Mersten, Attorney in Fact for Vicky B. Gregg	28-NOV-2025
0001772537-25-000007	/s/ Lori A. Brown, attorney in fact	28-NOV-2025
0001948729-25-000005	/s/ Jered Fahey as attorney-in-fact	28-NOV-2025
0001493152-25-025390	/s/ Andrew M. Johnson	28-NOV-2025
0002034458-25-000008	/s/ Bella Zaslavsky, Attorney-in-Fact	28-NOV-2025
0001193125-25-302580	/s/ Brian P. Hanigan, attorney-in-fact	28-NOV-2025
0001193125-25-302579	/s/ Peter Silverman as attorney-in-fact	28-NOV-2025
0001213900-25-116111	/s/ Eric J. Cleary, Attorney-in-Fact for Philippe Krakowsky	28-NOV-2025
0001213900-25-116110	/s/ Eric J. Cleary, Attorney-in-Fact for E. Lee Wyatt, Jr.	28-NOV-2025
0001213900-25-116109	/s/ Eric J. Cleary, Attorney-in-Fact for Patrick Moore	28-NOV-2025
0001914241-25-000008	/s/ Lori A. Brown, attorney in fact	28-NOV-2025
0001391867-25-000008	/s/ Lori A. Brown, attorney in fact	28-NOV-2025
0001563190-25-000206	/s/ Bradley K. Serwin, as attorney-in-fact	28-NOV-2025
0001891517-25-000023	/s/ Jamie Chung, Attorney-in-Fact	28-NOV-2025
0001628280-25-054270	/s/ Alicia C. Olivo	28-NOV-2025
0001193125-25-302569	GSAM HOLDINGS LLC By: /s/ David Miller, authorized signatory	28-NOV-2025
0001213900-25-116094	/s/ Eric J. Cleary, Attorney-in-Fact for Patrick Moore	28-NOV-2025
0001213900-25-116093	/s/ Eric J. Cleary, Attorney-in-Fact for E. Lee Wyatt, Jr.	28-NOV-2025
0001213900-25-116092	/s/ Eric J. Cleary, Attorney-in-Fact for Philippe Krakowsky	28-NOV-2025
0001670541-25-000154	/s/ Brett L. Eilander, attorney-in-fact for Michel Berthelin	28-NOV-2025
0001683168-25-008724	/s/ Jose Gamez, Attorney-in-Fact	28-NOV-2025
0000947871-25-001046	/s/ Jennifer L. Chu, as attorney-in-fact (4)	28-NOV-2025
0000002488-25-000175	/s/Linda Lam by Power of Attorney for Lisa T. Su	27-NOV-2025
0001365691-25-000004	/s/Kathleen M. Boege, Attorney-in-fact	28-NOV-2025
0001244290-25-000006	/s/Kathleen M. Boege, Attorney-in-fact	28-NOV-2025
0001752395-25-000004	/s/ Michele Halickman, Attorney-in-Fact	28-NOV-2025
0001718348-25-000006	/s/ Terry A. Oznick, attorney-in-fact	28-NOV-2025
0001832617-25-000010	/s/ Kimberly Hackman, by power of attorney	28-NOV-2025
0002024250-25-000012	/s/ Andrew Polovin, Attorney-in-Fact	28-NOV-2025
0001193125-25-302551	/s/ Peter Silverman as attorney-in-fact	28-NOV-2025
0001651319-25-000004	/s/ Luis F. Machado	28-NOV-2025
0001632790-25-000095	Alisa Diakova Attorney in Fact for: John J. Drabik	28-NOV-2025
0001193125-25-302417	Kathleen Valiasek, as Attorney-in-Fact for Matthew Nordby	28-NOV-2025
0001104659-25-116943	/s/ Stephen S. Sypherd, Attorney-in-Fact	28-NOV-2025
0001004434-25-000064	/s/ Kavita Padiyar, Attorney-in-Fact	28-NOV-2025
0001048268-25-000203	/s/ Mary K. Newman, Attorney-in-Fact	28-NOV-2025
0001048268-25-000202	/s/  Mary K. Newman	28-NOV-2025
0001048268-25-000201	/s/ Mary K. Newman, Attorney-in-Fact	28-NOV-2025
0001048268-25-000200	/s/ Mary K. Newman, Attorney-in-Fact	28-NOV-2025
0001048268-25-000199	Tontine Capital Partners, L.P.,  By: its General Partner, Tontine Capital Management, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	/s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	Tontine Capital Overseas GP, L.L.C. By: its Managing Member,/s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	Tontine Associates, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	Tontine Asset Associates, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	Tontine Capital Overseas Master Fund II, L.P., By: its General Partner, Tontine Asset Associates, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	Tontine Capital Management, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	28-NOV-2025
0001048268-25-000199	Tontine Management, L.L.C., By: its Managing Member, /s/ Jeffrey L. Gendell	28-NOV-2025
0001437749-25-036492	/s/ Vicki L Dodson	28-NOV-2025
0001753662-25-000013	/s/ Jacob McQuown, Attorney-in-Fact	28-NOV-2025
0001638509-25-000012	/s/Amanda M. Ducey by Power of Attorney for Gregory A. Duffey	28-NOV-2025
0001193125-25-302304	/s/ Daniel Ramos, Attorney-in-Fact	28-NOV-2025
0001805284-25-000153	/s/ Elisabeth Gormley, attorney in fact	28-NOV-2025
0001213900-25-116029	/s/ Lewis Solimene, Jr	28-NOV-2025
0001808160-25-000006	/s/ Tiffany M. King, Attorney-in-Fact	28-NOV-2025
0002016432-25-000008	By: Todd Suko For: Ajay Madan Gopal	28-NOV-2025
0001780940-25-000011	Todd Suko, Attorney in Fact for Steve Lo	28-NOV-2025
0001299690-25-000011	Todd Suko	28-NOV-2025
0001193125-25-302188	/s/ Lizzie Gomez, Attorney-in-Fact	28-NOV-2025
0001193125-25-302026	/s/ Lizzie Gomez, Attorney-in-Fact	28-NOV-2025
0001938758-25-000005	/s/ Jon Bates	28-NOV-2025
0001493152-25-025359	/s/ ImHyuk Yi, Treasurer of The Grace and Mercy Foundation, Inc.	28-NOV-2025
0001841794-25-000118	/s/ Mat Ishbia	28-NOV-2025
0001841794-25-000118	/s/ Mat Ishbia, CEO, for SFS Holding Corp.	28-NOV-2025
0001437107-25-000220	Tara L. Smith, by power of attorney	28-NOV-2025
0001463170-25-000003	/s/ Elizabeth B. Chandler	28-NOV-2025
0001213900-25-115976	/s/ Joseph V. Salvucci, Sr.	28-NOV-2025
0001271373-25-000013	Suzanne Helen	28-NOV-2025
0001104659-25-116835	/s/ Benjamin Azoff, pursuant to power of attorney	28-NOV-2025
0001493152-25-025356	/s/ James J. Fredlake	28-NOV-2025
0000902664-25-005168	/s/ Oasis Investments II Master Fund Ltd., By: Phillip Meyer, its Director	28-NOV-2025
0000902664-25-005168	/s/ Oasis Management Company Ltd., By: Phillip Meyer, its General Counsel	28-NOV-2025
0000902664-25-005168	/s/ Seth Fischer	28-NOV-2025
0001967434-25-000009	/s/ Ian C. Lofwall, Attorney-in-Fact	28-NOV-2025
0001809539-25-000009	/s/ Ian C. Lofwall, Attorney-in-Fact	28-NOV-2025
0001575329-25-000011	/s/ Ian C. Lofwall, Attorney-in-Fact	28-NOV-2025
0001996458-25-000009	/s/ Ian C. Lofwall, Attorney-in-Fact	28-NOV-2025
0001924613-25-000019	/s/ Ian C. Lofwall, Attorney-in-Fact	28-NOV-2025
0001685295-25-000009	/s/ Ian C. Lofwall, Attorney-in-Fact	28-NOV-2025
0001628280-25-054249	/s/ Kenneth Robert Bertram	28-NOV-2025
0001831624-25-000010	/s/ Helen M. Oh, attorney-in-fact	28-NOV-2025
0001398344-25-021360	/s/ Marc Collins	28-NOV-2025
0001493152-25-025335	/s/ Edward Pershing	28-NOV-2025
0001437749-25-036487	/s/ Jay Kesslen, attorney-in-fact	28-NOV-2025
0001104659-25-116808	/s/ Bella Guerrero, Attorney-in-Fact for Mary Ann McGarry	28-NOV-2025
0001104659-25-116806	/s/ Bella Guerrero, Attorney-in-Fact for Gioia Messinger	28-NOV-2025
0001104659-25-116804	/s/ Bella Guerrero, Attorney-in-Fact for Edward Bryant, Jr.	28-NOV-2025
0001104659-25-116802	/s/ Bella Guerrero, Attorney-in-Fact for Michael Meyer	28-NOV-2025
0001104659-25-116801	/s/ Bella Guerrero, Attorney-in-Fact for Martha Marcon	28-NOV-2025
0001104659-25-116798	/s/ Bella Guerrero, Attorney-in-Fact for Terry Lynn Schmidt	28-NOV-2025
0001104659-25-116797	/s/ Bella Guerrero, Attorney-in-Fact for David Manuel Neylan	28-NOV-2025
0001104659-25-116796	/s/ Bella Guerrero, Attorney-in-Fact for Desiree Amber Kramer	28-NOV-2025
0000889331-25-000190	Ryan K. Stafford, Power of Attorney	28-NOV-2025
0001104659-25-116795	/s/ Bella Guerrero, Attorney-in-Fact for Patrick Joseph Duffy	28-NOV-2025
0001582328-25-000017	/s/ Jeri Bluth, as attorney-in-fact for Robert Dixon	28-NOV-2025
0001193125-25-301576	Joyce J. Mason	28-NOV-2025
0001193125-25-301573	Joyce J. Mason, by Power of Attorney	28-NOV-2025
0001781308-25-000013	David Sealock	28-NOV-2025
0001781308-25-000012	David Sealock	25-NOV-2025
0001437749-25-036485	/s/ Jay Kesslen, attorney-in-fact	28-NOV-2025
0001437749-25-036484	/s/Jay Kesslen, attorney in fact	28-NOV-2025
0001045450-25-000136	/s/ Angela M. Whittaker, Attorney-in-Fact for Gregory E. Zimmerman	28-NOV-2025
0000833640-25-000205	By: /s/ Eric Verity Attorney In Fact For: Gagan Jain	26-NOV-2025
0001214659-25-017305	/s/ Saria Tseng	26-NOV-2025
0001435109-25-000353	/s/Darren Thayer, Attorney-in-Fact for Alison Staloch	28-NOV-2025
0001214659-25-017303	/s/ Saria Tseng	25-NOV-2025
0001225208-25-009477	Stacy Standridge, as Attorney-in-fact	28-NOV-2025
0001225208-25-009476	Stacy Standridge, as Attorney-in-fact	28-NOV-2025
0001729998-25-000004	/s/ E.C. Tanner, Attorney-in-Fact	28-NOV-2025
0001435109-25-000352	/s/Darren Thayer, Attorney-in-Fact for Alison Staloch	28-NOV-2025
0001115055-25-000204	/s/ Robert A. McCabe, Jr.	28-NOV-2025
0001437749-25-036481	/s/ Robert C. Vaughn	28-NOV-2025
0001437749-25-036479	/s/ Leslie A. Moriyama	28-NOV-2025
0001493152-25-025315	/s/ Joseph D. Freedman	28-NOV-2025
0001493152-25-025314	/s/ Phillip Frost, MD ET AL	28-NOV-2025
0001628280-25-054229	/s/ Thomas Lynn, Attorney-in-Fact	28-NOV-2025
0000929638-25-004392	/s/ Edmond Cheng, attorney-in-fact	28-NOV-2025
0001830401-25-000005	/s/ J Bryant Kirkland III, Attorney in Fact for Perry Weitz	28-NOV-2025
0001437749-25-036477	/s/ Timothy C. Fiori	28-NOV-2025
0001475856-25-000004	Carla Brenwald, Attorney-in-fact	28-NOV-2025
0002029299-25-000002	/s/ Trung T. Doan, attorney-in-fact	28-NOV-2025
0001671071-25-000002	/s/Christopher Lee attorney-in-fact	28-NOV-2025
0001541193-25-000002	Trung Tri Doan attorney-in-fact	28-NOV-2025
0001878313-25-000050	/s/ Cristian Luput	26-NOV-2025
0001878313-25-000047	/s/ Vlad Vitoc	26-NOV-2025
0001493152-25-025282	/s/ Snehal Patel	28-NOV-2025
0001193125-25-301155	/s/ Jonathan Young, Attorney-in-Fact	28-NOV-2025
0001477932-25-008636	/s/ Anthony Brian Goodman	28-NOV-2025
0001477932-25-008636	/s/ Anthony Brian Goodman, as Managing Member of Luxor Capital LLC	28-NOV-2025
0001104659-25-116556	/s/ Brett Moyer	26-NOV-2025
0001104659-25-116555	/s/ David M. Howitt	26-NOV-2025
0001104659-25-116554	/s/ Helge Kristensen	26-NOV-2025
0001493152-25-025279	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0000905148-25-004189	/s/ Jay Sood, Attorney-in-Fact	26-NOV-2025
0001493152-25-025278	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001104659-25-116553	/s/ Dr. Jeffrey M. Gilbert	26-NOV-2025
0001493152-25-025271	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025270	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025273	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025275	/s/ Robert Golden	26-NOV-2025
0001493152-25-025276	/s/ Aaron Green	26-NOV-2025
0001493152-25-025277	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025274	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025272	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001104659-25-116552	/s/ Kimberly Briskey	26-NOV-2025
0001493152-25-025269	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001104659-25-116551	/s/ Nathaniel Bradley	26-NOV-2025
0001104659-25-116550	/s/ Robert Tobias	26-NOV-2025
0001104659-25-116549	/s/ Sriram Krishnamurthy Peruvemba	26-NOV-2025
0001104659-25-116548	/s/ Stanley Mbugua	26-NOV-2025
0001104659-25-116547	/s/ Wendy Wilson	26-NOV-2025
0001493152-25-025257	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0000950157-25-000975	/s/ Raj Sachdeva, Vice President, Head of GBM&T Compliance Canada	26-NOV-2025
0001493152-25-025252	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025249	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025253	/s/ Robert Golden	26-NOV-2025
0001493152-25-025255	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025250	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025251	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0001493152-25-025254	/s/ Aaron Green	26-NOV-2025
0001493152-25-025248	/s/ Robert Golden, Attorney-in-Fact	26-NOV-2025
0002001557-25-000023	/s/ Suzanne Niemeyer, Attorney-In-Fact	26-NOV-2025
0002001557-25-000021	/s/ Suzanne Niemeyer, Attorney-In-Fact	26-NOV-2025
0002001557-25-000020	/s/ Suzanne Niemeyer, Attorney-In-Fact	26-NOV-2025
0001193125-25-301033	/s/ Vieser, Jaime	26-NOV-2025
0001193125-25-301031	/s/ Jeffrey R. Geygan	26-NOV-2025
0001193125-25-301030	/s/ James P. Geygan, Chief Executive Officer	26-NOV-2025
0001193125-25-301029	James P. Geygan, Chief Executive Officer	26-NOV-2025
0001193125-25-301028	James P. Geygan	26-NOV-2025
0001213900-25-115725	/s/ Janet Dillione	26-NOV-2025
0001493152-25-025238	/s/ Rory J. Cutaia	26-NOV-2025
0001193125-25-301026	/s/ Postma, Robert W	26-NOV-2025
0001193125-25-301025	/s/ Michael, Jerman A	26-NOV-2025
0001193125-25-301021	/s/ Christian Formica, Attorney-in-Fact	26-NOV-2025
0001193125-25-301019	/s/ Christian Formica, Attorney-in-Fact	26-NOV-2025
0001193125-25-301018	/s/ Christian Formica, Attorney-in-Fact	26-NOV-2025
0001193125-25-301017	/s/ Christian Formica, Attorney-in-Fact	26-NOV-2025
0001193125-25-301016	Hanwha Aerospace Co., Ltd. By: /s/ Jaeil Son Title: Chief Executive Officer	26-NOV-2025
0001237860-25-000007	/s/ Melanie Goins, Attorney-In-Fact for David S. Rosenblatt	26-NOV-2025
0001193125-25-301007	/s/ J. Brendhan Botkin, Attorney-in-Fact	26-NOV-2025
0001639504-25-000004	/s/ Lauren Jaeger, Attorney-in-Fact	26-NOV-2025
0001628280-25-054214	/s/ Mary Nuttall, Attorney-in-Fact for Tim Chao-Ming Chen	26-NOV-2025
0001193125-25-301000	/s/ Daniel Rodriguez as Attorney-in-Fact for Kevin Yeaman	26-NOV-2025
0002003074-25-000034	Matthew Whitehead, CCO, Authorsied Signatory	26-NOV-2025
0001493152-25-025234	NARROGAL NOMINEES PTY LTD By: /s/ Gregory K. O'Neill, Sole Director	26-NOV-2025
0001493152-25-025234	/s/ Gregory K. O'Neill	26-NOV-2025
0001493152-25-025234	NARROGAL NOMINEES PTY LTD ATF GREGORY K O'NEILL FAMILY TRUST By: /s/ Gregory K. O'Neill, Sole Director of Narrogal Nominees Pty Ltd, trustee	26-NOV-2025
0001573338-25-000011	/s/ Michael E. Hurlston, by Kristine Murphy as attorney-in-fact	26-NOV-2025
0002091481-25-000006	Wilfred Zhongkei Daye	26-NOV-2025
0001749518-25-000005	/s/ Michael Chin, Attorney-in-Fact for John Yung	26-NOV-2025
0000935703-25-000099	/s/ John S. Mitchell, Jr., attorney-in-fact for Mr. Creedon	26-NOV-2025
0001672013-25-000082	/s/ Chad M. Van Ess, as attorney-in-fact	26-NOV-2025
0001140361-25-043585	/s/ Basil G. Mavroleon	26-NOV-2025
0001140361-25-043584	/s/ Kathleen C. Haines	26-NOV-2025
0001140361-25-043583	/s/ Karin Y. Orsel	26-NOV-2025
0001140361-25-043582	/s/ Arthur L. Regan	26-NOV-2025
0001140361-25-043581	/s/ Paramita Das	26-NOV-2025
0001193125-25-300979	/s/ Robert Hilton, Attorney-in-fact	26-NOV-2025
0001140361-25-043580	/s/ Michael Fantozzi, Attorney-in-Fact  for Jonathan M. Rothberg, Ph.D.	26-NOV-2025
0001409970-25-000095	/s/ Bhavit Sheth, attorney-in-fact	26-NOV-2025
0001409970-25-000093	/s/ Bhavit Sheth, attorney-in-fact	26-NOV-2025
0001409970-25-000091	/s/ Bhavit Sheth, attorney-in-fact	26-NOV-2025
0001796635-25-000011	/s/ Mark Barrysmith, Attorney-in-fact	26-NOV-2025
0001409970-25-000089	/s/ Bhavit Sheth, attorney-in-fact	26-NOV-2025
0001409970-25-000087	/s/ Bhavit Sheth, attorney-in-fact	26-NOV-2025
0002001011-25-000111	By: /s/ Arjun Kampani, as Attorney-in-Fact For: Frank Klein	26-NOV-2025
0002001011-25-000110	/s/ Arjun Kampani	26-NOV-2025
0002042056-25-000008	/s/ Mark Barrysmith, Attorney-in-fact	26-NOV-2025
0001751980-25-000027	/s/ Emma J. Purdy, as attorney-in-fact for Johanna Roberts	26-NOV-2025
0001680979-25-000009	/s/ Mark Barrysmith, Attorney-in-fact	26-NOV-2025
0001651318-25-000007	/s/ Emma J. Purdy, as attorney-in-fact for Arani Bose	26-NOV-2025
0001608933-25-000004	/s/ Kendall Larsen, Attorney-in-fact for Gary Feiner	26-NOV-2025
0000950142-25-003087	/s/ Victoria R. Black, Attorney-in-fact	26-NOV-2025
0001193125-25-300961	/s/ Fadillah Badar, as Attorney-in-Fact for Amie Thuener O'Toole	26-NOV-2025
0001193125-25-300959	/s/ Gladys Chang as Attorney-in-Fact	26-NOV-2025
0001177264-25-000020	/s/ Michael O. McCarthy, III	25-NOV-2025
0001493152-25-025227	/s/ Andrew Hromyk Authorized Signatory of First Finance Ltd.	26-NOV-2025
0001493152-25-025227	/s/ Andrew Hromyk	26-NOV-2025
0001437749-25-036471	/s/ Georgia Lo, attorney-in-fact	26-NOV-2025
0001193125-25-300949	Haveli Brooks Aggregator, L.P., By: Haveli Investments Software Fund I GP, LLC, its general partner, By: Whanau Interests LLC, its sole member, By: /s/ Brian N. Sheth, Title: Managing Member	26-NOV-2025
0001193125-25-300949	Haveli Investments Software Fund I GP, LLC, By: Whanau Interests LLC, its sole member, By: /s/ Brian N. Sheth, Title: Managing Member	26-NOV-2025
0001193125-25-300949	/s/ Brian N. Sheth	26-NOV-2025
0001193125-25-300949	Haveli Software Management LLC, By: Haveli Investment Management LLC, its sole member, By: /s/ Brian N. Sheth, Title: Chief Executive Officer and Chief Investment Officer	26-NOV-2025
0001193125-25-300949	Whanau Interests LLC, By: /s/ Brian N. Sheth, Title: Managing Member	26-NOV-2025
0001193125-25-300949	Haveli Investment Management LLC, By: /s/ Brian N. Sheth, Title: Chief Executive Officer and Chief Investment Officer	26-NOV-2025
0001193125-25-300949	Haveli Investments, L.P., By: Whanau Interests LLC, its general partner, By: /s/ Brian N. Sheth, Title:  Managing Member	26-NOV-2025
0001345016-25-000078	/s/ Vanessa J. Oh, Attorney-in-Fact	26-NOV-2025
0001628280-25-054210	/s/ Christopher J. Joyce, as Attorney-in-Fact, for Joseph S. Konowiecki	26-NOV-2025
0001666120-25-000077	/s/ Veena Bhatia, Attorney-in-Fact for Cannon-Brookes Michael	26-NOV-2025
0001666121-25-000079	/s/ Veena Bhatia, Attorney-in-Fact for Farquhar Scott	26-NOV-2025
0001628280-25-054208	/s/ Amy A. Miraglia, Attorney-in-Fact for John A. Kritzmacher	26-NOV-2025
0001193125-25-300940	/s/ Benjamin G. Jackson, Attorney-in-fact	26-NOV-2025
0001193125-25-300939	Jeremy Hayden	26-NOV-2025
0001493152-25-025224	/s/ Ramachandran Murali	26-NOV-2025
0001815308-25-000004	/s/ Benjamin L. Palleiko, Attorney-in-Fact	26-NOV-2025
0001691102-25-000006	/s/ Benjamin L. Palleiko, Attorney-in-Fact	26-NOV-2025
0001860131-25-000004	/s/ Benjamin L. Palleiko, Attorney-in-Fact	26-NOV-2025
0001366244-25-000006	/s/ Benjamin L. Palleiko	26-NOV-2025
0001703634-25-000003	/s/ Daniela Gutierrez, as Attorney-in-Fact	26-NOV-2025
0000947871-25-001045	/s/ Carl L. Gordon, Member of OrbiMed Advisors LLC	26-NOV-2025
0000947871-25-001045	/s/ Carl L. Gordon, Member of OrbiMed Capital GP VIII LLC	26-NOV-2025
0001239944-25-000032	/s/ Michael C. Donlon, Attorney-in-Fact for Ashish Bendre	26-NOV-2025
0001352573-25-000006	/s/ Noriko Yokozuka, as Attorney-in-Fact	26-NOV-2025
0001239944-25-000031	/s/ Michael C. Donlon, Attorney-in-Fact for Ashish Bendre	26-NOV-2025
0000947871-25-001044	/s/ Peter A. Thompson	26-NOV-2025
0001797266-25-000006	/s/ Cecilia Aza, attorney-in-fact	26-NOV-2025
0001687544-25-000005	Priya Howell - Attorney-in-Fact for Diane M. Bryant	26-NOV-2025
0001525221-25-000085	/s/ Justin D. Mogford, Attorney-in-Fact for Lorin L. Brass	26-NOV-2025
0001966925-25-000006	/s/ Christina Poler as attorney-in-fact for Brenna McGibney	26-NOV-2025
0001967117-25-000006	/s/ Christina Poler as attorney-in-fact for John R. Gallagher	26-NOV-2025
0001968590-25-000006	/s/ Christina Poler as attorney-in-fact for Steve Weinrauch	26-NOV-2025
0001611679-25-000008	/s/ Christina Poler as attorney-in-fact for Darryl Rawlings	26-NOV-2025
0001966922-25-000006	/s/ Christina Poler as attorney-in-fact for Emily Dreyer	26-NOV-2025
0001995789-25-000006	/s/ Christina Poler as attorney-in-fact for Fawwad Qureshi	26-NOV-2025
0001966923-25-000006	/s/ Christina Poler as attorney-in-fact for Simon Wheeler	26-NOV-2025
0001657025-25-000013	/s/ Christina Poler as attorney-in-fact for Margaret Tooth	26-NOV-2025
0001828972-25-000245	/s/ Heather Flores-Ricks, Attorney-in-Fact for Adam Rothstein	26-NOV-2025
0002064832-25-000040	/s/ William R. Kolb, Attorney-in-Fact	26-NOV-2025
0000950103-25-015373	/s/ Erin Guldiken, attorney-in-fact for Javier Olivan	26-NOV-2025
0000034088-25-000111	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
0001700938-25-000005	/s/ Albert G. McGrath by Power of Attorney	26-NOV-2025
0000034088-25-000109	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
0000950103-25-015372	/s/ Erin Guldiken, attorney-in-fact for Jennifer Newstead	26-NOV-2025
0001437749-25-036468	/s/ Christopher Pribula, pursuant to power of attorney	26-NOV-2025
0000034088-25-000107	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
0000034088-25-000104	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
0000034088-25-000102	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
0000034088-25-000100	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
0001193125-25-300907	/s/ Norman Staskey, attorney-in-fact	26-NOV-2025
0001104659-25-116513	/s/ Courtney Fandrick, Authorized Person of Eagle Point DIF GP I LLC	26-NOV-2025
0001104659-25-116513	/s/ Courtney Fandrick, Chief Compliance Officer of Eagle Point Credit Management LLC	26-NOV-2025
0001193125-25-300906	/s/ Katherine O'Neil, Attorney-in-Fact	26-NOV-2025
0000034088-25-000098	/s/ Marsha E. Stewart Schreiner by Power of Attorney	26-NOV-2025
